treatment,shoot_rep,green_lvs_7daypost,first_regen_d,regen_pts_d21
3 d prehy,11,30,3,5
3 d prehy,12,90,4,3
3 d prehy,13,0,NA,0
3 d prehy,14,90,4,2
3 d prehy,15,20,7,3
3 d prehy,16,10,6,3
4 d prehy,1,20,4,2
4 d prehy,2,40,2,5
4 d prehy,3,10,7,3
4 d prehy,4,20,3,4
4 d prehy,5,0,15,1
4 d prehy,6,30,8,3
4 d prehy,7,60,10,4
4 d prehy,8,20,4,2
4 d prehy,9,50,4,3
4 d prehy,10,70,16,2
4 d prehy,11,0,NA,0
4 d prehy,12,80,6,3
4 d prehy,13,20,15,2
4 d prehy,14,0,16,2
4 d prehy,15,50,7,5
4 d prehy,16,0,NA,0
7 d prehy,1,5,4,6
7 d prehy,2,10,7,6
7 d prehy,3,30,5,2
7 d prehy,4,0,NA,0
7 d prehy,5,30,4,5
7 d prehy,6,30,8,3
7 d prehy,7,0,NA,0
7 d prehy,8,10,11,3
7 d prehy,9,20,5,2
7 d prehy,10,10,11,1
7 d prehy,11,30,7,2
7 d prehy,12,30,4,3
7 d prehy,13,0,NA,0
7 d prehy,14,20,5,2
7 d prehy,15,10,12,2
7 d prehy,16,0,11,1
